,id,question,A,B,C,D,answer,explanation,option_type,source,level
1540,2589,"F.奥尔波特认为社会心理学的研究对象包括社会意识和（　　）。
 ",社会角色	 ,社会环境	 ,社会行为	 ,社会知觉,C,美国心理学家F.奥尔波特在《社会心理学》一书中指出，社会心理学是研究个体的社会行为和社会意识的学科。,单选,2012.5,2
593,959,长程心理咨询的时间一般在（　　）以上。,1个月	 ,2个月	 ,3个月	 ,6个月,C,在遇到严重心理问题或神经症性的心理问题时，可采用长程心理咨询，一般用时在3个月以上，要求制订详细的咨询计划。,单选,2014.11,3
835,1386,幼儿游戏主要是一种（　　）。,互动游戏,实物游戏,规则游戏,象征性游戏,D,象征性游戏是以儿童的经验为基础，通过想象建构虚假情境的创造性活动。象征性游戏是幼儿期的游戏特点，又称假装游戏。,单选,2008.5,3
338,535,下列心理测评工具中，评定生活事件及其影响的是（　　）。,SSRS	 ,SAS	 ,SCL-90	 ,LES,D,生活事件量表（LES）共含有48条我国较常见的生活事件，包括三方面的问题。一是家庭生活方面（28条），二是工作学习方面（13条），三是社交及其他方面（7条）。LES适用于16岁以上的正常人、神经症、身心疾病、各种躯体疾病求助者以及自知力恢复的重性精神病求助者。,单选,2016.11,3
274,463,职业化包含多种层次的内容，其核心层是（　　）。,职业化理念	 ,职业化流程	 ,职业化作风	 ,职业化素养,D,职业化是职业人或任何职业的从业人员在现代职场的基本素质和工作要求。职业化包含着3个层次的内容，其核心层是“职业化素养”，包括职业道德和责任意识等。,单选,2016.11,3
1814,3051,"“英雄救美”、容易演绎出爱情佳话，可用于解释这种现象的理论是（　　）。
 ",人际关系三维理论	 ,海德的态度转变理论	 ,爱情三角形理论	 ,沙赫特的情绪理论,D,沙赫特的情绪三因素理论认为情绪=刺激×生理唤起×认知标签。“英雄救美”容易演绎出爱情佳话，是因为在危急状态下，美女生理上的高度唤起，这时候如果英雄从天而降，就很容易被美女解释为是她紧张的理由。于是危险过后，美女会觉得温情，吸引就油然而生。,单选,2013.5,2
1961,3293,"外周神经系统是把（　　）联系起来的神经结构。
 ",躯体神经系统与植物神经系统	 ,中枢神经系统与周围神经系统	 ,交感神经系统与副交感神经系统	 ,中枢神经系统与感觉器官、运动器官、内脏器官,D,外周神经系统，是神经系统的外周部分，它一端与中枢神经系统的脑或脊髓相连，另一端通过各种末梢装置与机体其他器官、系统相联系。外周神经系统按所联系的器官不同，可分为躯体神经系统和自主神经（植物神经）系统两大类，外周神经系统每一类又可按照传导兴奋的方向不同而分为传入和传出两类。,单选,2015.5,2
879,1468,注意属于（　　）。,认知过程,情感过程,意志过程,心理状态,D,注意只是心理活动或意识活动的一个特点，是心理过程的一种状态，即心理活动总是指向于、集中于某些对象的这种特点或状态。所以，注意不是一种心理过程，它并不反映任何事物，也不反映事物的任何属性。,单选,2008.11,3
1311,2168,"生物反馈法的基本原理是（　　）。
 ",经典条件反射	 ,交互性抑制	 ,操作条件反射	 ,消退性抑制,D,生物反馈疗法是指通过现代电子仪器，将个体在通常情况下不能意识到的体内生理功能予以描记，并转换为数据、图形或声、光等反馈信号，让求助者根据反馈信号的变化了解并学习调节自己体内不随意的内脏机能及其他躯体机能，达到防治疾病的目的。生物反馈法的基本原理是消退性抑制。,单选,2015.11,2
1995,3327,"下列不属于HAMD因子的是（　　）。
 ",认知障碍	 ,睡眠障碍	 ,情绪障碍	 ,日夜变化,C,汉密尔顿抑郁量表HAMD可归纳为7类因子结构：①焦虑/躯体化；②体重；③认识障碍；④日夜变化；⑤阻滞；⑥睡眠障碍；⑦绝望感。,单选,2015.5,2
1900,3184,"心理正常与心理异常的标准化区分原则是由（　　）提出的。
 ",李心天	 ,许又新	 ,郭念锋	 ,陈仲庚,A,李心天提出的区分正常与异常的4个标准化原则主要有：①医学标准；②统计学标准；③内省经验标准；④社会适应标准。,单选,2013.11,2
1436,2389,"以下各项中不属于保密例外的情况是（　　）。
 ",司法机关要求心理咨询师提供保密信息	 ,针对心理咨询师的伦理或法律诉讼	 ,求助者既往心理咨询经历	 ,求助者对他人造成即刻伤害威胁的,C,心理咨询中保密例外的情况包括：求助者同意将保密信息透露给他人；司法机关要求心理咨询师提供保密信息；出现针对心理咨询师的伦理或法律诉讼；心理咨询中出现法律规定的保密问题限制，如报告虐待儿童、老人等；求助者可能对自身或他人造成即刻伤害或死亡威胁；求助者患有危及生命的传染性疾病。当遇到以上保密例外情况时，心理咨询师应将泄密程度控制在最小范围内。,单选,2016.5,2
718,1177,人们运用语言进行交际的过程叫（　　）。,思维	 ,语境	 ,言语	 ,副语言,C,人们运用语言进行交际的过程叫言语。语言是以语音或文字为物质外壳，以词为基本单位，以语法为构造规则的符号系统。言语要借助于语言才能实现。,单选,2015.5,3
852,1403,与求助者会谈时，心理咨询师的态度应该是（　　）。,积极,非评判性,顺从,有指导性,B,心理咨询师在与求助者会谈时，只能持一种非评判性态度。非评判性态度是使求助者感到轻松的重要因素，它可以使求助者无所顾忌，从而把内心世界展现出来。,单选,2008.5,3
818,1369,“心理学的任务，在于查明S和R之间的规律性关系”，持这种观点的学派是（　　）。,机能主义心理学,构造主义心理学,人本主义心理学,行为主义心理学,D,行为主义心理学的代表人物华生认为，心理学研究行为的任务，就在于查明刺激与反应之间的规律性关系，只要确定了刺激和反应(即S-R)之间的关系，就可以预测行为，并通过控制环境去塑造人的心理和行为。,单选,2008.5,3
1611,2708,"在态度的成分中，起主导作用的是（　　）成分。
 ",外显行为	 ,情感	 ,行为倾向	 ,认知,B,态度的ABC模型:态度有认知、情感和行为倾向性三个成分。由于它们的英文单词首字母分别为C（认知）、A（情感）、B（行为倾向）。一般而言，态度的三种成分是协调一致的。当它们不协调时，情感成分往往占有主导地位，决定态度的基本取向与行为倾向。,单选,2011.5,2
1831,3068,"强迫性人格障碍的特点是（　　）。
 ",过分追求完美	 ,猜疑并固执己见	 ,夸大潜在危险	 ,以夸张吸引注意,A,强迫性人格障碍以过分要求严格与完美无缺为特点；偏执性人格障碍以猜疑和偏执为特点；焦虑性人格障碍常习惯夸大潜在的危险；表演性人格障碍常以夸张言行吸引他人的注意。,单选,2013.5,2
601,967,EPQ共有4个人格量表，其中英文字母E指的是（　　）量表。,神经质	 ,精神质	 ,内外向	 ,掩饰性,C,艾森克人格问卷（EPQ）包括精神质（P）、内外向（E）、神经质（N）和说谎（L）四个分量表。,单选,2014.11,3
1979,3311,"多重选择性问题是一种（　　）。
 ",责备性问题	 ,修饰性反问	 ,开放式问题	 ,封闭式问题,D,A项，责备性提问是指以反问的形式责备来访者的提问方式；B项，在修饰性反问中实际上并不存在问题答案，修饰性反问中的问题不需要回答也无法回答。修饰性反问常使谈话陷入僵局，或者使所谈的内容引向空洞和抽象的评价，离开具体问题，对求诊者毫无益处；C项，开放式询问通常使用“什么”、“如何”、“为什么”、“能不能”、“愿不愿意”等词来发问，让求助者就有关问题、思想、情感给予详细的说明；D项，封闭式询问通常使用“是不是”、“对不对”、“要不要”、“有没有”等词，而回答也是“是”“否”式的简单答案。多重选择问题并不是开放性问题，仍然是封闭性问题，使我们获得的信息仍然受到限制。,单选,2015.5,2
1207,2016,"“性别”表示男女在（　　）方面的差异。
 ",生物学	 ,人格特征	 ,社会学	 ,行为方式,B,性别表示男女在人格特征方面的差异。男性特质和女性特质指的就是性别的差异；A项，性是生物学概念，表示男女在生物学方面的差异，如遗传、内分泌、解剖及生理的差异；D项，性别角色表示社会对男女在态度、角色和行为方式方面的期待。,单选,2014.5,2
1016,1684,精神发育迟滞形成的原因是（　　）。,内心冲突变形	 ,获得性知识的丧失	 ,内心冲突强烈	 ,早期大脑发育不良,D,精神发育迟滞指先天或围生期或在生长发育成熟以前，由于多种致病因素的影响，使大脑发育不良或发育受阻，以致智能发育停留在某一阶段，不能随着年龄的增长而增长，其智能明显低于正常的同龄人。,单选,2011.5,3
5,10,艾里克森认为童年期(7岁～12岁)的主要发展任务是（　　）。,获得勤奋感，克服自卑感,获得完善感，避免厌恶感,获得自主感，克服羞耻感,获得亲密感，避免孤独感,A,艾里克森提出了人格发展的八个阶段，每个阶段都有各自的发展任务和所形成的良好人格品质。B项是成年后期的主要发展任务。C项是婴儿后期的主要发展任务。D项是成年早期的主要发展任务。,单选,2009.5,3
281,478,小学阶段儿童思维的特点是（　　）。,未掌握守恒	 ,不具有可逆性	 ,理解补偿关系	 ,相对性,C,小学阶段的年龄范围在六七岁至十二三岁，处于童年期。童年期是认知发展的具体运算阶段，其思维的本质特征是依赖具体内容的逻辑思维。这一时期的儿童已经掌握了守恒；形成守恒概念的推理方式，即恒等性、可逆推理和两维互补推理；具有自我中心表现和脱自我中心化，4-7岁儿童具有自我中心现象，9岁以后儿童正确的认知结果占主导地位，基本摆脱自我中心的影响。所以，该题C项正确。,单选,2016.11,3
6,11,第一反抗期发生的时间大约是（　　）。,1～2岁,3～4岁,7～8岁,13～14岁,B,个体发展过程中出现了两个反抗期，第一反抗期出现在幼儿3～4岁，第二反抗期出现在青春期。,单选,2009.5,3
204,345,我国社会主义道德建设的基本原则是（　　）。,个人主义	 ,集体主义	 ,科学发展观	 ,诚实守信,B,为人民服务是社会主义思想道德建设的核心、集体主义是社会主义思想道德建设的原则。,单选,2013.11,3
1720,2865,"冲击疗法的原理是（　　）。
 ",交互性抑制	 ,经典条件反射	 ,消退性抑制	 ,操作条件反射,C,消退性抑制是指条件反射而没有得到强化而得到抑制。冲击疗法是咨询师迅速将求助者置身于最恐惧的情境中，求助者产生最强烈的恐惧或焦虑，咨询师任其自然，迫使刺激导致的强烈情绪反应反转乃至消失，主要用来治疗恐惧性神经症。其原理就是消退性抑制。,单选,2016.11,2
1922,3206,"艾根将无条件的积极关注称为（　　）。
 ",共情	 ,接纳	 ,尊重	 ,支持,C,艾根认为尊重是一个高水平的咨询师的最高价值观，无条件的积极关注就是尊重。,单选,2013.11,2
648,1059,5周至4个月的婴儿对熟人与陌生人都可以报以微笑，这种笑的反应属于（　　）。,有选择的社会性微笑,自发性微笑,无选择的社会性微笑,条件反射性的笑,C,社会性微笑的出现是婴儿情绪社会化的开端，婴儿的微笑是一种从生物学意义向社会意义转化的发展过程，可分为三个阶段:自发性微笑（0～5周）、无选择的社会性微笑（5周～4个月）、有选择的社会性微笑（4个月以后）。5周～4个月这个时期引起婴儿微笑的刺激主要是人的语音和面孔；他们对熟悉人与陌生人都可以报以微笑，是不加区分的。这时期的微笑是无选择的社会性微笑。,单选,2010.11,3
